id;dart;x;y;z
0;0x600001e33fc0;1.2061;-0.125;0.158786
1;0x600001e33bc0;0.991445;-0.25;0.130526
2;0x600001e339c0;0.867514;-0.216506;0.11421
3;0x600001e337c0;0.776791;-0.125;0.102266
4;0x600001e335c0;0.743584;-0;0.097895
5;0x600001e331c0;0.867514;0.216506;0.11421
6;0x600001e32dc0;1.11538;0.216506;0.146842
7;0x600001e32bc0;1.2061;0.125;0.158786
8;0x600001e325c0;1.08667;-0.216506;0.291171
9;0x600001e323c0;0.965926;-0.25;0.258819
10;0x600001e321c0;0.845185;-0.216506;0.226466
11;0x600001e31fc0;0.756797;-0.125;0.202783
12;0x600001e319c0;0.845185;0.216506;0.226466
13;0x600001e315c0;1.08667;0.216506;0.291171
14;0x600001e313c0;1.17506;0.125;0.314855
15;0x600001e32780;1.20741;-0;0.323523
16;0x600001e30fc0;1.1239;-0.125;0.465537
17;0x600001e307c0;0.723854;-0.125;0.29983
18;0x600001e305c0;0.69291;-0;0.287013
19;0x600001e303c0;0.723854;0.125;0.29983
20;0x600001e3fbc0;1.1239;0.125;0.465537
21;0x600001e3f7c0;1.05352;-0.125;0.608253
22;0x600001e3f5c0;0.974279;-0.216506;0.5625
23;0x600001e3f3c0;0.866025;-0.25;0.5
24;0x600001e3efc0;0.678525;-0.125;0.391747
25;0x600001e3edc0;0.649519;-0;0.375
26;0x600001e3ebc0;0.678525;0.125;0.391747
27;0x600001e3e9c0;0.757772;0.216506;0.4375
28;0x600001e3e5c0;0.974279;0.216506;0.5625
29;0x600001e309c0;0.808394;-0.216506;0.334848
30;0x600001e3e3c0;1.05352;0.125;0.608253
31;0x600001e3f780;1.08253;-0;0.625
32;0x600001e3dfc0;0.965119;-0.125;0.740562
33;0x600001e3ddc0;0.892523;-0.216506;0.684856
34;0x600001e3d7c0;0.621587;-0.125;0.476961
35;0x600001e3cdc0;0.892523;0.216506;0.684856
36;0x600001e3c5c0;0.795495;-0.216506;0.795496
37;0x600001e3bbc0;0.554013;0.125;0.554014
38;0x600001e3b9c0;0.618718;0.216506;0.618719
39;0x600001e3b7c0;0.707106;0.25;0.707107
40;0x600001e3b5c0;0.795495;0.216506;0.795496
41;0x600001e3b3c0;0.860199;0.125;0.8602
42;0x600001e3c780;0.883883;-0;0.883884
43;0x600001e3a9c0;0.532666;-0.216506;0.694184
44;0x600001e3a3c0;0.476961;0.125;0.621587
45;0x600001e39fc0;0.608761;0.25;0.793353
46;0x600001e39dc0;0.684856;0.216506;0.892523
47;0x600001e39bc0;0.740562;0.125;0.96512
48;0x600001e397c0;0.608253;-0.125;1.05352
49;0x600001e395c0;0.5625;-0.216506;0.974279
50;0x600001e393c0;0.5;-0.25;0.866025
51;0x600001e391c0;0.4375;-0.216506;0.757772
52;0x600001e38fc0;0.391747;-0.125;0.678525
53;0x600001e385c0;0.5625;0.216506;0.974279
54;0x600001e383c0;0.608253;0.125;1.05352
55;0x600001e39780;0.625;-0;1.08253
56;0x600001e47bc0;0.382684;-0.25;0.923879
57;0x600001e475c0;0.287013;-0;0.69291
58;0x600001e46dc0;0.430519;0.216506;1.03936
59;0x600001e46bc0;0.465537;0.125;1.1239
60;0x600001e3af80;0.760952;-0;0.991692
61;0x600001e467c0;0.314854;-0.125;1.17506
62;0x600001e465c0;0.291171;-0.216506;1.08667
63;0x600001e463c0;0.258819;-0.25;0.965926
64;0x600001e31dc0;0.724444;-0;0.194114
65;0x600001e45dc0;0.194114;-0;0.724444
66;0x600001e453c0;0.314854;0.125;1.17506
67;0x600001e44fc0;0.158786;-0.125;1.2061
68;0x600001e44dc0;0.146842;-0.216506;1.11538
69;0x600001e441c0;0.11421;0.216506;0.867514
70;0x600001e43bc0;0.158786;0.125;1.2061
71;0x600001e437c0;0;-0.125;1.21651
72;0x600001e435c0;0;-0.216506;1.125
73;0x600001e433c0;0;-0.25;1
74;0x600001e431c0;0;-0.216506;0.875
75;0x600001e42dc0;0;-0;0.75
76;0x600001e427c0;0;0.25;1
77;0x600001e425c0;0;0.216506;1.125
78;0x600001e419c0;-0.114211;-0.216506;0.867514
79;0x600001e47fc0;0.465537;-0.125;1.1239
80;0x600001e417c0;-0.102267;-0.125;0.776791
81;0x600001e415c0;-0.097895;-0;0.743584
82;0x600001e413c0;-0.102267;0.125;0.776791
83;0x600001e45fc0;0.202783;-0.125;0.756797
84;0x600001e411c0;-0.114211;0.216506;0.867514
85;0x600001e44bc0;0.130526;-0.25;0.991445
86;0x600001e40fc0;-0.130527;0.25;0.991445
87;0x600001e40dc0;-0.146843;0.216506;1.11538
88;0x600001e40bc0;-0.158787;0.125;1.2061
89;0x600001e41f80;-0.163158;-0;1.23931
90;0x600001e407c0;-0.314855;-0.125;1.17506
91;0x600001e4ffc0;-0.202783;-0.125;0.756797
92;0x600001e4fbc0;-0.202783;0.125;0.756797
93;0x600001e4f7c0;-0.258819;0.25;0.965926
94;0x600001e3bfc0;0.554013;-0.125;0.554014
95;0x600001e4f5c0;-0.291172;0.216506;1.08667
96;0x600001e4efc0;-0.465537;-0.125;1.1239
97;0x600001e4edc0;-0.430519;-0.216506;1.03936
98;0x600001e4ebc0;-0.382684;-0.25;0.92388
99;0x600001e4e9c0;-0.334848;-0.216506;0.808395
100;0x600001e4e5c0;-0.287013;-0;0.69291
101;0x600001e4e3c0;-0.29983;0.125;0.723854
102;0x600001e317c0;0.965926;0.25;0.258819
103;0x600001e4e1c0;-0.334848;0.216506;0.808395
104;0x600001e4dfc0;-0.382684;0.25;0.92388
105;0x600001e4dbc0;-0.465537;0.125;1.1239
106;0x600001e6fbc0;-0.158786;0.125;-1.2061
107;0x600001e73fc0;0.793353;0.25;-0.608761
108;0x600001e5afc0;-0.678525;-0.125;-0.391747
109;0x600001e4d7c0;-0.608253;-0.125;1.05353
110;0x600001e669c0;-0.532666;-0.216506;-0.694184
111;0x600001e4d1c0;-0.4375;-0.216506;0.757772
112;0x600001e4cdc0;-0.375;-0;0.649519
113;0x600001e4c3c0;-0.608253;0.125;1.05353
114;0x600001e33dc0;1.11538;-0.216506;0.146842
115;0x600001e4bdc0;-0.684857;-0.216506;0.892522
116;0x600001e4b7c0;-0.476961;-0.125;0.621587
117;0x600001e4b5c0;-0.456571;-0;0.595015
118;0x600001e521c0;-0.867514;0.216506;0.114211
119;0x600001e4b3c0;-0.476961;0.125;0.621587
120;0x600001e4afc0;-0.608762;0.25;0.793353
121;0x600001e66fc0;-0.740562;-0.125;-0.965119
122;0x600001e4bf80;-0.760952;-0;0.991691
123;0x600001e447c0;0.102266;-0.125;0.776791
124;0x600001e48bc0;-0.793353;-0.25;0.608761
125;0x600001e4cbc0;-0.391747;0.125;0.678525
126;0x600001e4a5c0;-0.795495;-0.216506;0.795495
127;0x600001e693c0;0.5;-0.25;-0.866025
128;0x600001e4a3c0;-0.707107;-0.25;0.707107
129;0x600001e443c0;0.102266;0.125;0.776791
130;0x600001e49fc0;-0.554014;-0.125;0.554013
131;0x600001e49dc0;-0.53033;-0;0.53033
132;0x600001e389c0;0.4375;0.216506;0.757772
133;0x600001e4bbc0;-0.608762;-0.25;0.793353
134;0x600001e7f3c0;1.17506;0.125;-0.314855
135;0x600001e6cbc0;0.158786;0.125;-1.2061
136;0x600001e48fc0;-0.965119;-0.125;0.740562
137;0x600001e485c0;-0.595015;-0;0.456571
138;0x600001e483c0;-0.621587;0.125;0.476961
139;0x600001e481c0;-0.694184;0.216506;0.532666
140;0x600001e57dc0;-0.892522;0.216506;0.684857
141;0x600001e7fbc0;0.756797;0.125;-0.202783
142;0x600001e57bc0;-0.965119;0.125;0.740562
143;0x600001e573c0;-0.866026;-0.25;0.5
144;0x600001e623c0;-0.258819;-0.25;-0.965926
145;0x600001e571c0;-0.757772;-0.216506;0.4375
146;0x600001e56fc0;-0.678525;-0.125;0.391747
147;0x600001e569c0;-0.757772;0.216506;0.4375
148;0x600001e667c0;-0.476961;-0.125;-0.621587
149;0x600001e76fc0;0.608762;0.25;-0.793353
150;0x600001e567c0;-0.866026;0.25;0.5
151;0x600001e6d5c0;0.097895;0;-0.743584
152;0x600001e495c0;-0.795495;0.216506;0.795495
153;0x600001e43780;0;-0;1.25
154;0x600001e565c0;-0.974279;0.216506;0.5625
155;0x600001e3bdc0;0.53033;-0;0.53033
156;0x600001e55fc0;-1.12391;-0.125;0.465536
157;0x600001e55bc0;-0.92388;-0.25;0.382683
158;0x600001e555c0;-0.69291;-0;0.287012
159;0x600001e551c0;-0.808395;0.216506;0.334848
160;0x600001e54fc0;-0.92388;0.25;0.382683
161;0x600001e42bc0;0;0.125;0.783494
162;0x600001e49bc0;-0.554014;0.125;0.554013
163;0x600001e54bc0;-1.12391;0.125;0.465536
164;0x600001e33480;0.75;0;0
165;0x600001e48f80;-0.991692;-0;0.760952
166;0x600001e55f80;-1.15485;-0;0.478354
167;0x600001e545c0;-1.08667;-0.216506;0.291171
168;0x600001e48dc0;-0.892522;-0.216506;0.684857
169;0x600001e459c0;0.226466;0.216506;0.845185
170;0x600001e507c0;-1;0.25;0
171;0x600001e5a3c0;-1.05352;0.125;-0.608253
172;0x600001e53fc0;-0.756797;-0.125;0.202783
173;0x600001e53dc0;-0.724444;-0;0.194114
174;0x600001e533c0;-1.17506;0.125;0.314855
175;0x600001e4f9c0;-0.226467;0.216506;0.845185
176;0x600001e52fc0;-1.2061;-0.125;0.158786
177;0x600001e527c0;-0.776791;-0.125;0.102267
178;0x600001e523c0;-0.776791;0.125;0.102267
179;0x600001e51fc0;-0.991445;0.25;0.130526
180;0x600001e585c0;-0.795495;-0.216506;-0.795495
181;0x600001e51bc0;-1.2061;0.125;0.158786
182;0x600001e3a1c0;0.532666;0.216506;0.694184
183;0x600001e517c0;-1.21651;-0.125;-0
184;0x600001e6a7c0;0.29983;-0.125;-0.723854
185;0x600001e537c0;-0.965926;0.25;0.258819
186;0x600001e515c0;-1.125;-0.216506;-0
187;0x600001e57780;-1.08253;-0;0.625
188;0x600001e511c0;-0.875;-0.216506;-0
189;0x600001e50dc0;-0.75;0;0
190;0x600001e50bc0;-0.783494;0.125;0
191;0x600001e457c0;0.258819;0.25;0.965926
192;0x600001e6b7c0;0.258819;0.25;-0.965926
193;0x600001e5dbc0;-0.756797;0.125;-0.202783
194;0x600001e5edc0;-1.11538;0.216506;-0.146842
195;0x600001e51780;-1.25;0;0
196;0x600001e5f7c0;-0.776791;-0.125;-0.102267
197;0x600001e5f3c0;-0.776791;0.125;-0.102267
198;0x600001e5f1c0;-0.867514;0.216506;-0.114211
199;0x600001e59fc0;-0.965119;-0.125;-0.740562
200;0x600001e5ebc0;-1.2061;0.125;-0.158786
201;0x600001e5efc0;-0.991445;0.25;-0.130526
202;0x600001e5ff80;-1.23931;0;-0.163158
203;0x600001e5e7c0;-1.17506;-0.125;-0.314855
204;0x600001e471c0;0.334848;0.216506;0.808394
205;0x600001e4c7c0;-0.5;0.25;0.866026
206;0x600001e5e5c0;-1.08667;-0.216506;-0.291171
207;0x600001e59f80;-0.991692;0;-0.760952
208;0x600001e5e3c0;-0.965926;-0.25;-0.258819
209;0x600001e5d5c0;-1.08667;0.216506;-0.291171
210;0x600001e4d780;-0.625;-0;1.08253
211;0x600001e5c9c0;-0.808395;-0.216506;-0.334848
212;0x600001e41fc0;-0.158787;-0.125;1.2061
213;0x600001e715c0;0.69291;0;-0.287013
214;0x600001e4adc0;-0.684857;0.216506;0.892522
215;0x600001e5c7c0;-0.723854;-0.125;-0.29983
216;0x600001e5c3c0;-0.723854;0.125;-0.29983
217;0x600001e43fc0;0.130526;0.25;0.991445
218;0x600001e4b1c0;-0.532667;0.216506;0.694184
219;0x600001e5c1c0;-0.808395;0.216506;-0.334848
220;0x600001e30dc0;1.03936;-0.216506;0.430519
221;0x600001e3afc0;0.740562;-0.125;0.96512
222;0x600001e41dc0;-0.146843;-0.216506;1.11538
223;0x600001e505c0;-1.125;0.216506;0
224;0x600001e513c0;-1;-0.25;-0
225;0x600001e5bdc0;-1.03936;0.216506;-0.430519
226;0x600001e5cf80;-1.15485;0;-0.478354
227;0x600001e33080;0.875;0.216506;0
228;0x600001e5b5c0;-0.974278;-0.216506;-0.5625
229;0x600001e5cdc0;-1.03936;-0.216506;-0.430519
230;0x600001e5b1c0;-0.757772;-0.216506;-0.4375
231;0x600001e5abc0;-0.678525;0.125;-0.391747
232;0x600001e461c0;0.226466;-0.216506;0.845185
233;0x600001e529c0;-0.867514;-0.216506;0.114211
234;0x600001e3a7c0;0.476961;-0.125;0.621587
235;0x600001e5f5c0;-0.743584;0;-0.097895
236;0x600001e5a9c0;-0.757772;0.216506;-0.4375
237;0x600001e3a5c0;0.456571;-0;0.595015
238;0x600001e75fc0;0.554014;-0.125;-0.554014
239;0x600001e55dc0;-1.03937;-0.216506;0.430518
240;0x600001e5a7c0;-0.866025;0.25;-0.5
241;0x600001e4a780;-0.883884;-0;0.883883
242;0x600001e59dc0;-0.892522;-0.216506;-0.684857
243;0x600001e33c80;1.125;-0.216506;-0
244;0x600001e59bc0;-0.793353;-0.25;-0.608761
245;0x600001e525c0;-0.743584;-0;0.097895
246;0x600001e33f80;1.23931;-0;0.163158
247;0x600001e3dbc0;0.793353;-0.25;0.608761
248;0x600001e51dc0;-1.11538;0.216506;0.146842
249;0x600001e58dc0;-0.892522;0.216506;-0.684857
250;0x600001e3d3c0;0.621587;0.125;0.476961
251;0x600001e3c1c0;0.618718;-0.216506;0.618719
252;0x600001e593c0;-0.621587;0.125;-0.476961
253;0x600001e691c0;0.4375;-0.216506;-0.757772
254;0x600001e67dc0;-0.53033;0;-0.53033
255;0x600001e677c0;-0.707107;0.25;-0.707107
256;0x600001e675c0;-0.795495;0.216506;-0.795495
257;0x600001e5e780;-1.20741;0;-0.323524
258;0x600001e673c0;-0.8602;0.125;-0.8602
259;0x600001e5fdc0;-1.11538;-0.216506;-0.146842
260;0x600001e52bc0;-0.991445;-0.25;0.130526
261;0x600001e67bc0;-0.554014;0.125;-0.554013
262;0x600001e58780;-0.883884;0;-0.883883
263;0x600001e6e9c0;0;0.216506;-0.875
